epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.39,0.97503,2.61158,1.08898,0.9648,0.19615,0.66949,0.52925,0.84635,2.9608,0.94554,0.000467346,0.000467346,0.000467346
2,643.958,0.95105,1.68713,1.08329,0.60576,0.57429,0.57966,0.43775,1.01379,2.25699,1.13075,0.000924994,0.000924994,0.000924994
3,951.419,1.02982,1.51811,1.10499,0.61807,0.69306,0.63605,0.45277,0.989,2.53804,1.0983,0.00136378,0.00136378,0.00136378
4,1250.15,0.99938,1.40194,1.11352,0.77386,0.68556,0.7746,0.59279,0.89415,1.66938,1.06897,0.00134412,0.00134412,0.00134412
5,1550.48,0.99511,1.2711,1.1054,0.9027,0.71296,0.79211,0.59274,0.92217,1.43641,1.09096,0.00131582,0.00131582,0.00131582
6,1848.92,0.94746,1.15067,1.09047,0.86096,0.79778,0.8628,0.68292,0.80636,1.10994,1.00419,0.00128753,0.00128753,0.00128753
7,2149.06,0.88231,1.01866,1.05776,0.91521,0.75874,0.85591,0.6839,0.76606,1.03107,0.98734,0.00125923,0.00125923,0.00125923
8,2448.54,0.8664,0.94429,1.05117,0.9105,0.83373,0.8797,0.68894,0.78825,0.91724,1.0032,0.00123094,0.00123094,0.00123094
9,2747.93,0.86056,0.90182,1.03445,0.90725,0.82579,0.86903,0.68029,0.80356,0.91366,1.00724,0.00120265,0.00120265,0.00120265
10,3039.9,0.8408,0.86269,1.03707,0.91784,0.82634,0.88355,0.72682,0.73066,0.85705,0.96989,0.00117435,0.00117435,0.00117435
11,3330.08,0.79961,0.81323,1.00035,0.96228,0.76113,0.86525,0.71575,0.7076,0.83158,0.96365,0.00114606,0.00114606,0.00114606
12,3617.81,0.79512,0.78234,1.01263,0.94232,0.80853,0.88401,0.73066,0.70228,0.7903,0.96397,0.00111776,0.00111776,0.00111776
13,3897.18,0.78881,0.7846,1.01023,0.87743,0.83357,0.88646,0.74871,0.66757,0.77072,0.94017,0.00108947,0.00108947,0.00108947
14,4193.98,0.74145,0.71578,0.98826,0.93075,0.79507,0.85857,0.72471,0.67593,0.81684,0.93786,0.00106118,0.00106118,0.00106118
15,4493.42,0.74675,0.72384,0.99933,0.9727,0.83549,0.90433,0.75795,0.63498,0.68514,0.91055,0.00103288,0.00103288,0.00103288
16,4790.21,0.75788,0.71622,0.9967,0.94271,0.82277,0.90121,0.74829,0.65139,0.68055,0.94997,0.00100459,0.00100459,0.00100459
17,5085.84,0.74982,0.68189,0.99744,0.97143,0.82594,0.89441,0.75791,0.63309,0.65411,0.92816,0.000976293,0.000976293,0.000976293
18,5439.49,0.72826,0.66303,0.97693,0.95298,0.83615,0.90528,0.76672,0.62822,0.62207,0.92697,0.000947999,0.000947999,0.000947999
19,5824.09,0.72523,0.64899,0.99325,0.97283,0.82639,0.90836,0.76786,0.60018,0.62903,0.91601,0.000919704,0.000919704,0.000919704
20,6332.57,0.69281,0.6295,0.96888,0.91934,0.87926,0.91893,0.78272,0.59386,0.58964,0.92342,0.00089141,0.00089141,0.00089141
21,6902.8,0.68277,0.61553,0.95898,0.92353,0.89191,0.92077,0.78322,0.61755,0.59992,0.91347,0.000863116,0.000863116,0.000863116
22,7363.23,0.67472,0.59519,0.95532,0.95234,0.88181,0.92084,0.79971,0.56771,0.56896,0.90012,0.000834822,0.000834822,0.000834822
23,7715.01,0.67441,0.57635,0.96103,0.96998,0.86681,0.92921,0.80195,0.55917,0.53385,0.89703,0.000806528,0.000806528,0.000806528
24,8125.89,0.65606,0.57037,0.95352,0.94535,0.88446,0.92254,0.81865,0.53373,0.50643,0.88635,0.000778233,0.000778233,0.000778233
25,8455.49,0.63823,0.55792,0.93711,0.98652,0.86127,0.93431,0.8103,0.5435,0.50194,0.87534,0.000749939,0.000749939,0.000749939
26,8905.94,0.65304,0.56024,0.95759,0.96289,0.88516,0.91898,0.81436,0.52569,0.50862,0.88917,0.000721645,0.000721645,0.000721645
27,9326.15,0.62907,0.54223,0.94405,0.93265,0.88505,0.92346,0.80362,0.55642,0.52404,0.89832,0.000693351,0.000693351,0.000693351
28,9673.06,0.61399,0.53208,0.94139,0.97261,0.87967,0.92575,0.81429,0.5426,0.52314,0.89257,0.000665057,0.000665057,0.000665057
29,9940.75,0.59376,0.5046,0.92824,0.96801,0.88082,0.92528,0.82258,0.5301,0.48709,0.89301,0.000636762,0.000636762,0.000636762
30,10325.2,0.61118,0.51078,0.94071,0.98103,0.88791,0.93696,0.809,0.54321,0.47847,0.89001,0.000608468,0.000608468,0.000608468
31,10680.4,0.59157,0.49228,0.92325,0.99613,0.85899,0.93422,0.82039,0.50575,0.46357,0.87588,0.000580174,0.000580174,0.000580174
32,11036.6,0.58077,0.49635,0.93464,0.96348,0.89492,0.93042,0.82192,0.52049,0.46822,0.89035,0.00055188,0.00055188,0.00055188
33,11438.6,0.58002,0.48065,0.92845,0.93354,0.90319,0.92929,0.82822,0.49653,0.47855,0.86775,0.000523586,0.000523586,0.000523586
34,11828.5,0.56471,0.46088,0.9213,0.96335,0.88771,0.9305,0.83364,0.49256,0.44821,0.86914,0.000495291,0.000495291,0.000495291
35,12175.3,0.57991,0.46962,0.92955,0.9728,0.88214,0.93244,0.82655,0.52076,0.46247,0.89515,0.000466997,0.000466997,0.000466997
36,12469.9,0.56713,0.46157,0.91677,0.97322,0.90191,0.93338,0.84337,0.46051,0.42687,0.8555,0.000438703,0.000438703,0.000438703
37,12761.9,0.52942,0.43121,0.89516,0.97753,0.88292,0.93023,0.83704,0.47058,0.43986,0.86565,0.000410409,0.000410409,0.000410409
38,13048.2,0.53793,0.42989,0.90938,0.97706,0.89058,0.92897,0.84181,0.44889,0.43168,0.84898,0.000382115,0.000382115,0.000382115
39,13332.6,0.5331,0.42543,0.91185,0.97966,0.90035,0.93523,0.85093,0.44777,0.42615,0.84877,0.00035382,0.00035382,0.00035382
40,13619.7,0.5367,0.43113,0.90585,0.98458,0.89461,0.94037,0.85084,0.45041,0.40265,0.84319,0.000325526,0.000325526,0.000325526
41,13910.6,0.42199,0.37026,0.83486,0.9698,0.90859,0.94497,0.86254,0.44333,0.3893,0.84776,0.000297232,0.000297232,0.000297232
42,14203.6,0.4076,0.34019,0.82358,0.98747,0.87382,0.93647,0.85514,0.44081,0.3949,0.84607,0.000268938,0.000268938,0.000268938
43,14497.4,0.40053,0.33031,0.82518,0.96988,0.89243,0.93416,0.85586,0.43812,0.40425,0.85006,0.000240644,0.000240644,0.000240644
44,14791.8,0.40282,0.33599,0.82822,0.97026,0.88545,0.93681,0.8566,0.43969,0.36914,0.85144,0.000212349,0.000212349,0.000212349
45,15085.4,0.39428,0.32381,0.82042,0.97223,0.89801,0.93644,0.85622,0.44027,0.38658,0.85165,0.000184055,0.000184055,0.000184055
46,15386.8,0.38316,0.32452,0.80925,0.97134,0.89027,0.93459,0.85963,0.42795,0.39738,0.84795,0.000155761,0.000155761,0.000155761
47,15703.2,0.36742,0.30738,0.8101,0.97801,0.86605,0.9324,0.85344,0.41517,0.39725,0.84151,0.000127467,0.000127467,0.000127467
48,16010.3,0.36226,0.30324,0.81108,0.95023,0.90749,0.94063,0.86564,0.40648,0.37321,0.83897,9.91726e-05,9.91726e-05,9.91726e-05
49,16305.9,0.35889,0.30181,0.80314,0.96378,0.91644,0.94306,0.86867,0.40306,0.35815,0.83764,7.08784e-05,7.08784e-05,7.08784e-05
50,16599,0.3459,0.29185,0.80675,0.96154,0.91404,0.93896,0.86922,0.3963,0.35442,0.83535,4.25842e-05,4.25842e-05,4.25842e-05
